,revenue,pred,,,
0,373554033,164581900.1,8.57235343,8.216382072,0.355971357
1,262797249,151591225.9,8.419620815,8.180674065,0.23894675
2,81452156,71448683.37,7.910902584,7.85399423,0.056908354
3,76578911,69207492.79,7.884109186,7.840153116,0.04395607
4,187436818,109001294.2,8.272854903,8.037431654,0.235423248
5,64350171,119288442.6,7.808549705,8.076598369,-0.268048663
6,352194034,215492307.5,8.546781995,8.333431772,0.213350223
7,107879496,77007389.34,8.032938909,7.8865324,0.146406508
8,11348324,74073748.22,7.054931727,7.869664321,-0.814732594
9,13681765,57827454.85,7.136142127,7.762134078,-0.625991952
10,10017322,216023469.6,7.000751634,8.334500937,-1.333749303
11,116112375,62257280.89,8.064878508,7.794190149,0.27068836
12,135000000,112145278.4,8.130333768,8.049780994,0.080552775
13,4300000,64907594.71,6.633468456,7.812295516,-1.17882706
14,212385533,94693707.99,8.327124931,7.976321123,0.350803808
15,35431113,73136902.67,7.549384795,7.864136564,-0.314751769
16,115101622,59003888.29,8.061081444,7.770880632,0.290200812
17,30303072,102542704.7,7.481486658,8.010904768,-0.529418111
18,49800000,67564406.49,7.697229343,7.829717966,-0.132488623
19,27400000,43891648.52,7.437750563,7.642381893,-0.20463133
20,1738611,86364723.14,6.240202423,7.936336385,-1.696133962
21,180000000,81302416.5,8.255272505,7.910103454,0.345169051
22,168840000,131965830.4,8.227475343,8.120461495,0.107013849
23,254134910,154222340.3,8.405064327,8.188147289,0.216917038
24,39363635,74088858.04,7.595095196,7.869752901,-0.274657705
25,676525,50169660.33,5.83028385,7.700441161,-1.870157311
26,122195920,149681969,8.087056705,8.175169487,-0.088112782
27,21284514,74326702.37,7.328063738,7.871144865,-0.543081127
28,23574130,59068769.85,7.372435674,7.771357926,-0.398922252
29,327311859,155279039.4,8.514961741,8.191112836,0.323848905
30,346079773,248335209.2,8.539176217,8.395038299,0.144137919
31,23341568,126018422.3,7.368130027,8.100434038,-0.732304011
32,6700000,63621898.96,6.826074803,7.803606628,-0.977531825
33,17519169,54502336.15,7.243513502,7.736415118,-0.492901616
34,106269971,91347991.54,8.026410562,7.960699003,0.065711559
35,2409225,96793409.71,6.381877361,7.985845789,-1.603968428
36,28215918,78691432.02,7.450494185,7.895927449,-0.445433264
37,25836616,55672145.63,7.412235631,7.74563796,-0.333402329
38,11534477,78161762.97,7.061997907,7.892994346,-0.830996439
39,718490,56904263.31,5.856420728,7.755144805,-1.898724077
40,19030691,103254289.5,7.279454558,8.013908103,-0.734453545
41,2042530,60538261.88,6.310168444,7.782029948,-1.471861504
42,5781885,224220417.6,6.762069449,8.350675157,-1.588605708
43,529766,52338984.98,5.724084082,7.718825296,-1.994741214
44,10300000,74505564.28,7.012837225,7.872188708,-0.859351484
45,32,10679635.82,1.505149978,7.028556443,-5.523406465
46,8175346,73765062.03,6.912506142,7.867850712,-0.95534457
47,12379402,62787846.78,7.092699666,7.79787559,-0.705175924
48,19800000,63996762.75,7.29666519,7.806158006,-0.509492816
49,150270147,122886927,8.176872711,8.089505684,0.087367027
50,560069,72284417.96,5.748241535,7.859044688,-2.110803153
51,41205099,128921554.4,7.614950962,8.110325533,-0.495374571
52,182016617,90073512.1,8.260111038,7.954597097,0.305513941
53,34327391,126507983.3,7.535640797,8.102117933,-0.566477136
54,210000000,100208157.6,8.322219295,8.000903077,0.321316217
55,28262574,93226562.51,7.451211712,7.969539671,-0.518327959
56,32392047,77750542.05,7.510438394,7.890703425,-0.380265032
57,1,82003247.71,0,7.913831053,-7.913831053
